iter	Passed	Remaining
650	1547	829
651	1549	826
652	1550	823
653	1551	820
654	1554	819
655	1556	816
656	1557	813
657	1559	810
658	1560	807
659	1561	804
660	1562	801
661	1564	798
662	1565	795
663	1568	793
664	1570	791
665	1571	788
666	1572	785
667	1574	782
668	1575	779
669	1576	776
670	1578	773
671	1579	770
672	1580	768
673	1583	766
674	1585	763
675	1586	760
676	1587	757
677	1589	754
678	1590	751
679	1591	749
680	1593	746
681	1594	743
682	1597	741
683	1598	738
684	1599	735
685	1601	732
686	1602	730
687	1604	727
688	1605	724
689	1606	721
690	1609	719
691	1613	718
692	1615	715
693	1617	713
694	1618	710
695	1620	707
696	1621	705
697	1623	702
698	1624	699
699	1627	697
700	1629	694
701	1630	692
702	1631	689
703	1633	686
704	1634	683
705	1635	681
706	1637	678
707	1638	675
708	1640	673
709	1642	670
710	1644	668
711	1645	665
712	1646	662
713	1648	660
714	1649	657
715	1650	654
716	1652	652
717	1653	649
718	1655	647
719	1657	644
720	1658	641
721	1659	639
722	1661	636
723	1662	633
724	1663	631
725	1665	628
726	1666	625
727	1668	623
728	1670	621
729	1672	618
730	1673	615
731	1675	613
732	1676	610
733	1677	608
734	1679	605
735	1680	602
736	1681	600
737	1683	597
738	1684	595
739	1686	592
740	1687	589
741	1688	587
742	1690	584
743	1691	582
744	1693	579
745	1694	576
746	1695	574
747	1698	572
748	1700	569
749	1701	567
750	1703	564
751	1705	562
752	1706	559
753	1707	557
754	1709	554
755	1710	552
756	1714	550
757	1715	547
758	1717	545
759	1718	542
760	1720	540
761	1721	537
762	1722	535
763	1724	532
764	1727	530
765	1728	528
766	1730	525
767	1731	523
768	1732	520
769	1734	517
770	1735	515
771	1736	512
772	1737	510
773	1739	507
774	1742	505
775	1744	503
776	1746	501
777	1747	498
778	1749	496
779	1750	493
780	1752	491
781	1754	489
782	1756	486
783	1758	484
784	1759	481
785	1760	479
786	1762	476
787	1764	474
788	1765	472
789	1767	469
790	1770	467
791	1773	465
792	1775	463
793	1778	461
794	1781	459
795	1782	456
796	1788	455
797	1790	453
798	1792	450
799	1793	448
800	1796	446
801	1799	444
802	1803	442
803	1805	440
804	1810	438
805	1811	436
806	1816	434
807	1818	432
808	1820	429
809	1821	427
810	1825	425
811	1828	423
812	1831	421
813	1833	418
814	1834	416
815	1836	414
816	1839	412
817	1841	409
818	1846	408
819	1848	405
820	1849	403
821	1851	400
822	1853	398
823	1855	396
824	1856	393
825	1859	391
826	1862	389
827	1863	387
828	1867	385
829	1869	382
830	1873	380
831	1875	378
832	1877	376
833	1878	373
834	1880	371
835	1883	369
836	1884	367
837	1887	364
838	1891	362
839	1892	360
840	1894	358
841	1896	355
842	1897	353
843	1898	350
844	1900	348
845	1903	346
846	1905	344
847	1906	341
848	1908	339
849	1909	336
850	1910	334
851	1911	332
852	1913	329
853	1917	327
854	1918	325
855	1920	323
856	1921	320
857	1923	318
858	1924	315
859	1926	313
860	1927	311
861	1929	308
862	1932	306
863	1934	304
864	1936	302
865	1937	299
866	1939	297
867	1940	295
868	1942	292
869	1943	290
870	1946	288
871	1948	286
872	1949	283
873	1951	281
874	1952	278
875	1954	276
876	1956	274
877	1957	272
878	1961	269
879	1962	267
880	1964	265
881	1966	263
882	1967	260
883	1970	258
884	1972	256
885	1978	254
886	1980	252
887	1982	249
888	1983	247
889	1985	245
890	1989	243
891	1991	241
892	1993	238
893	1994	236
894	1996	234
895	1997	231
896	1999	229
897	2000	227
898	2003	225
899	2005	222
900	2006	220
901	2007	218
902	2009	215
903	2010	213
904	2012	211
905	2013	208
906	2014	206
907	2017	204
908	2019	202
909	2021	199
910	2022	197
911	2023	195
912	2024	192
913	2026	190
914	2027	188
915	2028	186
916	2030	183
917	2033	181
918	2034	179
919	2036	177
920	2038	174
921	2039	172
922	2040	170
923	2041	167
924	2043	165
925	2046	163
926	2048	161
927	2049	159
928	2050	156
929	2052	154
930	2054	152
931	2055	149
932	2056	147
933	2058	145
934	2059	143
935	2062	140
936	2063	138
937	2065	136
938	2066	134
939	2068	132
940	2069	129
941	2071	127
942	2072	125
943	2073	123
944	2076	120
945	2077	118
946	2079	116
947	2080	114
948	2081	111
949	2083	109
950	2084	107
951	2085	105
952	2087	102
953	2088	100
954	2091	98
955	2093	96
956	2094	94
957	2096	91
958	2097	89
959	2099	87
960	2100	85
961	2101	83
962	2103	80
963	2106	78
964	2107	76
965	2108	74
966	2110	72
967	2111	69
968	2113	67
969	2114	65
970	2115	63
971	2117	60
972	2119	58
973	2121	56
974	2122	54
975	2124	52
976	2125	50
977	2126	47
978	2128	45
979	2129	43
980	2130	41
981	2131	39
982	2135	36
983	2136	34
984	2138	32
985	2139	30
986	2140	28
987	2142	26
988	2143	23
989	2145	21
990	2146	19
991	2149	17
992	2150	15
993	2152	12
994	2154	10
995	2155	8
996	2157	6
997	2158	4
998	2159	2
999	2161	0
